target,season,geography,location,horizon,n,model_wis,model_dispersion,model_underprediction,model_overprediction,model_ae_median,model_covered_50,model_covered_80,model_covered_90,model_covered_95,ensemble_wis,ensemble_dispersion,ensemble_underprediction,ensemble_overprediction,ensemble_ae_median,ensemble_covered_50,ensemble_covered_80,ensemble_covered_90,ensemble_covered_95,config_id,seed
wk inc covid hosp,2025-2026,states_dc,25,2,43,767.8878260869566,263.32260869565215,200.6086956521739,303.95652173913044,1201.0,21.0,30.0,35.0,39.0,1064.694767478106,386.3521713694688,239.46240126207695,438.8801948465604,1645.778158049311,20.0,30.0,38.0,38.0,B1 B gap-only,43
wk inc covid hosp,2025-2026,states_dc,25,3,42,981.1739130434783,292.04347826086956,243.8695652173913,445.2608695652174,1530.0,16.0,28.0,35.0,37.0,1248.7040333952432,444.9105366482947,254.09310384238287,549.7003929045657,1957.7847985569706,17.0,29.0,37.0,39.0,B1 B gap-only,43
wk inc covid hosp,2025-2026,states_dc,26,0,45,781.8869565217392,265.8,390.8695652173913,125.21739130434783,1202.0,19.0,32.0,36.0,38.0,840.5784599181054,321.37151691820327,399.1342313520916,120.07271164781055,1296.7856943857519,24.0,35.0,40.0,41.0,B1 B gap-only,43
wk inc covid hosp,2025-2026,states_dc,26,1,44,1007.8469565217391,296.4991304347826,522.1304347826087,189.2173913043478,1435.0,19.0,30.0,34.0,36.0,1220.9587475029189,423.1098968452702,518.1122677018798,279.736582955769,1849.1192949169554,24.0,34.0,40.0,41.0,B1 B gap-only,43
wk inc covid hosp,2025-2026,states_dc,26,2,43,1309.69,328.2552173913043,702.0,279.4347826086956,1921.0,19.0,27.0,33.0,33.0,1620.9670675255838,554.4737111115995,664.2289523769234,402.264404037061,2476.7938329489357,22.0,33.0,37.0,40.0,B1 B gap-only,43
wk inc covid hosp,2025-2026,states_dc,26,3,42,1410.0060869565218,358.3104347826087,644.6086956521739,407.0869565217391,2005.0,16.0,27.0,30.0,32.0,1838.4035224504141,648.8032508733687,706.1162411928273,483.4840303842181,2804.874919622672,23.0,31.0,35.0,40.0,B1 B gap-only,43
wk inc covid hosp,2025-2026,states_dc,27,0,45,321.6582608695652,146.61478260869566,91.86956521739131,83.17391304347827,512.0,23.0,38.0,41.0,42.0,346.5519717118138,137.54437845085977,125.12972749617671,83.8778657647773,539.685335559253,24.0,38.0,42.0,43.0,B1 B gap-only,43
wk inc covid hosp,2025-2026,states_dc,27,1,44,401.77652173913043,164.73304347826087,117.34782608695652,119.69565217391303,622.0,21.0,35.0,40.0,40.0,465.59972998258223,194.14654201363354,131.70844198682656,139.74474598212217,755.356717363774,20.0,39.0,41.0,42.0,B1 B gap-only,43
wk inc covid hosp,2025-2026,states_dc,27,2,43,542.5321739130435,182.57565217391303,149.82608695652175,210.1304347826087,819.0,22.0,31.0,33.0,37.0,649.6981517308282,254.09691018688727,164.00585022240955,231.5953913215314,1049.7788680284705,20.0,33.0,36.0,39.0,B1 B gap-only,43
wk inc covid hosp,2025-2026,states_dc,27,3,42,647.361304347826,200.5786956521739,157.91304347826087,288.8695652173913,994.0,18.0,28.0,32.0,36.0,754.9895456989343,293.04136449693846,176.19070722713622,285.7574739748596,1196.63381702915,17.0,29.0,34.0,37.0,B1 B gap-only,43
